fecha;prec
2013-06;3
2013-07;4
2013-08;3
2013-09;6
2013-10;7
2013-11;4
2013-12;8
2014-01;15
2014-02;14
2014-03;6
2014-04;10
2014-05;7
2014-06;5
2014-07;2
2014-08;0
2014-09;11
2014-10;7
2014-11;18
2014-12;3
2015-01;6
2015-02;5
2015-03;7
2015-04;5
2015-05;2
2015-06;7
2015-07;2
2015-08;3
2015-09;6
2015-10;12
2015-11;5
2015-12;4
2016-01;13
2016-02;10
2016-03;12
2016-04;14
2016-05;9
2016-06;2
2016-07;3
2016-08;0
2016-09;3
2016-10;13
2016-11;14
2016-12;5
2017-01;4
2017-02;10
2017-03;7
2017-04;6
2017-05;5
2017-06;6
2017-07;4
2017-08;3
2017-09;0
2017-10;2
2017-11;5
2017-12;4
2018-01;7
2018-02;7
2018-03;22
2018-04;14
2018-05;16
2018-06;10
2018-07;0
2018-08;0
2018-09;5
2018-10;15
2018-11;17
2018-12;5
2019-01;5
2019-02;1
2019-03;2
2019-04;14
2019-05;1
2019-06;1
2019-07;3
2019-08;6
2019-09;5
2019-10;10
2019-11;17
2019-12;12
2020-01;12
2020-02;1
2020-03;10
2020-04;16
2020-05;9
2020-06;4
2020-07;2
2020-08;3
2020-09;7
2020-10;7
2020-11;11
2020-12;17
2021-01;8
2021-02;12
2021-03;1
2021-04;19
2021-05;8
2021-06;8
2021-07;2
2021-08;2
2021-09;8
2021-10;5
2021-11;4
2021-12;7
2022-01;2
2022-02;5
2022-03;17
2022-04;12
2022-05;4
2022-06;2
2022-07;2
2022-08;3
2022-09;8
2022-10;10
2022-11;16
2022-12;16
2023-01;8
2023-02;3
2023-03;6
2023-04;3
